iso3c,iso2c,country,year,sh_tbs_incd,sh_sta_mmrt,sh_dyn_mort,dc_dac_jpnl_cd,dc_dac_korl_cd,dc_dac_espl_cd,dc_dac_totl_cd,dc_dac_gbrl_cd,dc_dac_usal_cd,sm_pop_netm,dt_oda_alld_kd,dt_oda_alld_cd,dt_oda_odat_kd,dt_nfl_undp_cd,sh_dyn_aids_zs,se_prm_cmpt_zs,se_enr_prsc_fm_zs,bx_grt_tech_cd_wd,sl_emp_vuln_zs
ABW,AW,Aruba,2000,6.2,NA,NA,NA,NA,NA,50000.0007450581,NA,50000.0007450581,1226,21180000.3051758,NA,NA,NA,NA,NA,0.992659986019135,NA,NA
ABW,AW,Aruba,2001,6.5,NA,NA,NA,NA,NA,NA,NA,NA,566,-3079999.92370605,NA,NA,NA,NA,88.1275405883789,0.999490022659302,NA,NA
ABW,AW,Aruba,2002,6.8,NA,NA,NA,NA,NA,19999.9995529652,19999.9995529652,NA,349,17530000.6866455,NA,NA,NA,NA,98.8329696655273,0.989000022411346,NA,NA
ABW,AW,Aruba,2003,7.1,NA,NA,NA,NA,NA,NA,NA,NA,329,104110000.610352,NA,NA,NA,NA,97.0246734619141,0.97706001996994,NA,NA
ABW,AW,Aruba,2004,7.3,NA,NA,NA,NA,NA,NA,NA,NA,326,-13880000.1144409,NA,NA,NA,NA,95.4701385498047,0.952910006046295,NA,NA
ABW,AW,Aruba,2005,7.6,NA,NA,NA,NA,NA,NA,NA,NA,594,NA,NA,NA,NA,NA,94.4293518066406,0.963389992713928,NA,NA
ABW,AW,Aruba,2006,7.9,NA,NA,NA,NA,NA,NA,NA,NA,634,NA,NA,NA,NA,NA,99.4612808227539,0.967980027198792,NA,NA
ABW,AW,Aruba,2007,8.2,NA,NA,NA,NA,NA,NA,NA,NA,672,NA,NA,NA,NA,NA,97.3307266235352,0.986760020256042,NA,NA
ABW,AW,Aruba,2008,8.4,NA,NA,NA,NA,NA,NA,NA,NA,703,NA,NA,NA,NA,NA,100.205062866211,1.00560998916626,NA,NA
ABW,AW,Aruba,2009,8.7,NA,NA,NA,NA,NA,NA,NA,NA,743,NA,NA,NA,NA,NA,97.5935821533203,1.00443994998932,NA,NA
ABW,AW,Aruba,2010,6,NA,NA,NA,NA,NA,NA,NA,NA,501,NA,NA,NA,NA,NA,99.1608428955078,1.01460003852844,NA,NA
ABW,AW,Aruba,2011,7.9,NA,NA,NA,NA,NA,NA,NA,NA,333,NA,NA,NA,NA,NA,NA,1.00871002674103,NA,NA
ABW,AW,Aruba,2012,28,NA,NA,NA,NA,NA,NA,NA,NA,317,NA,NA,NA,NA,NA,NA,1.02155995368958,NA,NA
ABW,AW,Aruba,2013,11,NA,NA,NA,NA,NA,NA,NA,NA,315,NA,NA,NA,NA,NA,94.0547790527344,NA,NA,NA
ABW,AW,Aruba,2014,1.9,NA,NA,NA,NA,NA,NA,NA,NA,333,NA,NA,NA,NA,NA,101.321281433105,NA,NA,NA
ABW,AW,Aruba,2015,5.8,NA,NA,NA,NA,NA,NA,NA,NA,373,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABW,AW,Aruba,2016,7.6,NA,NA,NA,NA,NA,NA,NA,NA,405,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABW,AW,Aruba,2017,7.6,NA,NA,NA,NA,NA,NA,NA,NA,434,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABW,AW,Aruba,2018,4.7,NA,NA,NA,NA,NA,NA,NA,NA,431,NA,NA,NA,NA,NA,96.1325988769531,NA,NA,NA
ABW,AW,Aruba,2019,1.9,NA,NA,NA,NA,NA,NA,NA,NA,420,NA,NA,NA,NA,NA,101.90274810791,NA,NA,NA
ABW,AW,Aruba,2020,0.93,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,104.266471862793,NA,NA,NA
ABW,AW,Aruba,2021,5.6,NA,NA,NA,NA,NA,NA,NA,NA,503,NA,NA,NA,NA,NA,95.7777786254883,NA,NA,NA
ABW,AW,Aruba,2022,4.6,NA,NA,NA,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,93.8329391479492,NA,NA,NA
ABW,AW,Aruba,2023,3.7,NA,NA,NA,NA,NA,NA,NA,NA,147,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABW,AW,Aruba,2024,8.3,NA,NA,NA,NA,NA,NA,NA,NA,141,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABW,AW,Aruba,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
