iso3c,iso2c,country,year,se_sec_uner_lo_zs,se_prm_uner_zs,se_xpd_totl_gd_zs,se_xpd_totl_gb_zs,sl_tlf_totl_fe_zs,sl_tlf_totl_in,se_sec_cmpt_lo_fe_zs,se_sec_cmpt_lo_ma_zs,se_sec_cmpt_lo_zs,se_sec_ages,sh_dth_1014,sh_dth_1519,sh_dth_2024,sh_dth_0509,se_prm_oenr_zs,se_prm_oenr_fe_zs,se_prm_oenr_ma_zs,sp_pop_0014_to_zs,sp_pop_1564_to_zs,se_pre_durs,se_prm_cmpt_fe_zs,se_prm_cmpt_ma_zs,se_prm_cmpt_zs,se_prm_durs,se_prm_enrl,se_prm_enrl_fe_zs,se_prm_tchr,se_prm_tchr_fe_zs,se_prm_ages,sh_dyn_1014,sh_dyn_1519,sh_dyn_0509,sh_dyn_2024,se_pre_enrr,se_pre_enrr_fe,se_pre_enrr_ma,se_prm_enrr,se_enr_prim_fm_zs,se_enr_prsc_fm_zs,se_prm_enrr_fe,se_prm_enrr_ma,se_prm_priv_zs,se_sec_enrr,se_enr_seco_fm_zs,se_sec_enrr_fe,se_sec_enrr_ma,se_sec_priv_zs,se_sec_durs,se_sec_enrl_gc,se_sec_enrl_gc_fe_zs,se_sec_enrl,se_sec_enrl_fe_zs,se_sec_tchr,se_sec_tchr_fe_zs,se_sec_tchr_fe,sl_uem_totl_fe_zs,sl_uem_totl_ma_zs,sl_uem_totl_zs
ABW,AW,Aruba,2000,NA,NA,4.71468019485474,21.807710647583,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,11.25985,9.92892,12.51838,23.4471026289551,69.7746207533672,2,NA,NA,NA,6,9263,48.60196,486,77.7777786254883,6,NA,NA,NA,NA,95.9030380249023,93.3563995361328,98.3827514648438,NA,0.966870009899139,0.992659986019135,NA,NA,82.4462890625,NA,1.03342998027802,NA,NA,NA,5,5239,53.6171,6178,50.50178,405,49.3827209472656,200,NA,NA,NA
ABW,AW,Aruba,2001,11.6146202087402,0.0791400000452995,4.79898023605347,21.3231792449951,NA,NA,100.603317260742,100.1572265625,100.384910583496,12,NA,NA,NA,NA,12.57948,11.48148,13.61948,23.1659376557223,69.8178395437683,2,93.2157363891602,83.0393524169922,88.1275405883789,6,9436,48.64349,498,78.7148590087891,6,NA,NA,NA,NA,97.5501937866211,97.7067413330078,97.4000015258789,110.349670410156,0.969399988651276,0.999490022659302,108.178176879883,112.488388061523,80.8923263549805,97.5565338134766,1.04673004150391,98.6474304199219,96.4439010620117,91.4125671386719,5,5352,53.94245,6428,51.05787,427,50.5854797363281,216,NA,NA,NA
ABW,AW,Aruba,2002,1.18194997310638,0.295980006456375,4.87220001220703,19.7571506500244,NA,NA,104.892967224121,95.7957992553711,100.303031921387,12,NA,NA,NA,NA,14.0752,12.40784,15.6293,22.8248439184272,69.8922613087324,2,104.552131652832,93.1884078979492,98.8329696655273,6,9840,48.24187,516,79.6511611938477,6,NA,NA,NA,NA,98.4359130859375,96.8188095092773,100,115.669448852539,0.947759985923767,0.989000022411346,112.701797485352,118.579742431641,80.6808929443359,100.163063049316,1.05376994609833,102.293441772461,97.9970092773438,91.4607086181641,5,5559,54.52419,6757,51.48735,449,48.7750587463379,219,NA,NA,NA
ABW,AW,Aruba,2003,4.83585977554321,1.0565299987793,NA,NA,NA,NA,90.4183502197266,81.6186599731445,86.0544204711914,12,NA,NA,NA,NA,13.95372,11.9183,15.83139,22.4569385765356,69.9913335499946,2,95.6140365600586,98.4149932861328,97.0246734619141,6,9897,47.98424,537,NA,6,NA,NA,NA,NA,99.6229019165039,98.7491302490234,100.473609924316,115.985000610352,0.931500017642975,0.97706001996994,112.163436889648,119.748779296875,80.236442565918,101.929069519043,1.04816997051239,104.977783203125,98.8703918457031,91.6290588378906,5,5548,54.74045,6869,51.57956,461,49.8915405273438,230,NA,NA,NA
ABW,AW,Aruba,2004,3.17687010765076,0.159170001745224,4.35698986053467,14.902910232544,NA,NA,99.5645904541016,86.8686904907227,93.1982574462891,12,NA,NA,NA,NA,14.54099,12.52819,16.39035,22.0764382459434,70.0812659246346,2,93.9310302734375,96.9945373535156,95.4701385498047,6,10185,47.88414,552,80.7970962524414,6,NA,NA,NA,NA,98.7465209960938,100.563377380371,96.9697036743164,117.217170715332,0.923409998416901,0.952910006046295,114.564247131348,119.765342712402,79.5876312255859,100.940940856934,0.999769985675812,101.585006713867,100.290870666504,91.7969284057617,5,5810,52.71945,6973,50.55213,479,50.7306900024414,243,NA,NA,NA
ABW,AW,Aruba,2005,2.65813994407654,0.0027099999133497,4.62321996688843,18.8882808685303,NA,NA,95.1909484863281,92.4475479125977,93.8115310668945,12,NA,NA,NA,NA,12.11707,10.39354,13.72993,21.7605858007004,70.1082457815982,2,94.0939636230469,94.7730407714844,94.4293518066406,6,10250,48.34146,567,80.776008605957,6,NA,NA,NA,NA,100.427200317383,99.7840194702148,101.056343078613,116.929039001465,0.938030004501343,0.963389992713928,114.752197265625,119.042266845703,79.248779296875,99.2053527832031,1.00364005565643,100.781471252441,97.6323089599609,91.3434524536133,5,5988,53.08951,7116,50.7448,502,51.7928314208984,260,NA,NA,NA
ABW,AW,Aruba,2006,NA,0.367850005626679,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,12.84889,11.55591,14.08159,21.560395209267,70.0432423932699,2,101.523551940918,97.5098266601562,99.4612808227539,6,10390,48.80654,572,81.6433563232422,6,NA,NA,NA,NA,108.981376647949,107.988166809082,109.949531555176,117.987739562988,0.955470025539398,0.967980027198792,116.870246887207,119.073196411133,78.7873001098633,99.8657531738281,0.988430023193359,100.671501159668,99.0606536865234,92.2435836791992,5,6311,52.68579,7439,50.38312,518,54.4401512145996,282,NA,NA,NA
ABW,AW,Aruba,2007,0.483399987220764,0.0792799964547157,4.70254993438721,20.7926406860352,NA,NA,93.8076400756836,95.3615264892578,94.5710525512695,12,NA,NA,NA,NA,11.98531,10.56296,13.32957,21.4226552227525,69.9343596964395,2,101.731033325195,93.1210174560547,97.3307266235352,6,10346,48.58883,594,82.8282775878906,6,NA,NA,NA,NA,107.329650878906,108.451759338379,106.240928649902,116.970039367676,0.956110000610352,0.986760020256042,115.377548217773,118.516036987305,77.8465118408203,106.236473083496,1.02982997894287,108.43962097168,104.046401977539,92.283203125,5,6339,53.76242,7853,50.88501,543,56.5377502441406,307,NA,NA,NA
ABW,AW,Aruba,2008,0.56291002035141,0.593710005283356,4.82730007171631,19.028829574585,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,12.03556,10.55773,13.42907,21.2934987653942,69.8030254231656,2,104.172462463379,96.3709716796875,100.205062866211,6,10012,48.53176,579,82.5561294555664,6,NA,NA,NA,NA,101.669761657715,102.267570495605,101.093292236328,116.013900756836,0.960789978504181,1.00560998916626,113.528038024902,118.459770202637,77.1574096679688,97.0627517700195,1.07120001316071,100.322486877441,93.8445205688477,91.7881698608398,5,5921,54.72049,7270,51.34801,555,56.936939239502,316,NA,NA,NA
ABW,AW,Aruba,2009,5.37134981155396,0.8126500248909,5.79739999771118,21.5635509490967,NA,NA,99.606819152832,92.6395874023438,96.0670471191406,12,NA,NA,NA,NA,9.33226,8.33161,10.28001,21.1480881187169,69.6689236610772,2,98.0555572509766,97.1649475097656,97.5935821533203,6,9944,48.6424,582,82.9896926879883,6,NA,NA,NA,NA,100.85693359375,99.9237823486328,101.749267578125,117.527481079102,0.971279978752136,1.00443994998932,114.756820678711,120.277908325195,75.0100631713867,99.1602172851562,1.04987001419067,100.752082824707,97.5919570922852,91.8403015136719,5,6201,53.36236,7439,50.42344,553,57.3236885070801,317,NA,NA,NA
ABW,AW,Aruba,2010,NA,NA,6.75109004974365,22.1767807006836,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,11.69608,10.22609,13.10304,20.8013904218712,69.7093798538659,2,97.9729690551758,100.434776306152,99.1608428955078,6,9231,48.90444,676,84.1296920776367,6,NA,NA,NA,NA,104.384986877441,102.97029876709,105.732948303223,119.795837402344,0.986959993839264,1.01460003852844,117.757690429688,121.813781738281,74.0211029052734,98.2207412719727,1.05181002616882,100.190170288086,96.3099594116211,91.7733612060547,5,6200,52.69355,7342,50.23154,517,59.2105293273926,315,NA,NA,NA
ABW,AW,Aruba,2011,NA,NA,5.91466999053955,21.7505397796631,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,20.2424218417326,69.9067151246274,2,NA,NA,NA,6,9535,48.36479,576,84.7682113647461,6,NA,NA,NA,NA,102.129219055176,104.37735748291,100,106.374038696289,0.971710026264191,1.00871002674103,104.978561401367,107.715202331543,75.8450393676758,96.633918762207,1.05606997013092,98.8285369873047,94.5088882446289,91.5695266723633,5,6281,52.2369,7378,50.31174,521,59.4696998596191,314,NA,NA,NA
ABW,AW,Aruba,2012,NA,NA,6.3472900390625,20.6340808868408,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,19.7443091088652,69.9961184511146,2,NA,NA,NA,6,9694,49.60621,577,84.7487001733102,6,NA,NA,NA,NA,106.52335357666,106.311790466309,106.724510192871,104.07494354248,1.02507996559143,1.02155995368958,105.428016662598,102.776496887207,74.4711990356445,108.976188659668,1.01760005950928,109.055122375488,108.898628234863,92.3839111328125,5,7289,51.62574,8377,49.6001,525,59.2792816162109,329,NA,NA,NA
ABW,AW,Aruba,2013,NA,NA,6.44295978546143,21.8776302337646,NA,NA,103.421051025391,96.0264892578125,99.735969543457,12,NA,NA,NA,NA,11.45568,9.78078,13.02629,19.3954610828072,69.911025522268,2,98.3739776611328,89.8550720214844,94.0547790527344,6,9791,48.39335,591,85.2791878172589,6,NA,NA,NA,NA,105.33780670166,104.354469299316,106.277366638184,114.985320023488,0.978100001811981,NA,113.409687425435,116.512488436633,73.0082626342773,NA,NA,NA,NA,NA,5,7481,50.91565,NA,NA,536,NA,NA,NA,NA,NA
ABW,AW,Aruba,2014,NA,0.278580009937286,5.85128021240234,19.6179790496826,NA,NA,102.445648193359,91.2101898193359,96.6469421386719,12,NA,NA,NA,NA,11.45069,9.72927,13.05031,19.1695083315195,69.6785895668577,2,98.3561630249023,104.378532409668,101.321281433105,6,9816,48.16626,596,87.0805369127517,6,NA,NA,NA,NA,105.796012878418,104.608291625977,106.937271118164,116.261992182873,0.968640029430389,NA,114.785140991211,117.553191489362,73.4209518432617,NA,NA,NA,NA,NA,5,7643,50.83083,NA,NA,553,NA,NA,NA,NA,NA
ABW,AW,Aruba,2015,NA,NA,5.88826990127563,23.201379776001,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,19.0345012933786,69.3250915443276,2,NA,NA,NA,6,9577,NA,615,84.390243902439,6,NA,NA,NA,NA,103.520858764648,102.260330200195,104.736839294434,115.01140867059,0.964263737201691,NA,115.664439495175,114.39570695287,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,562,NA,NA,NA,NA,NA
ABW,AW,Aruba,2016,NA,NA,5.49136018753052,21.8537502288818,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,18.9447161983873,68.8920853714879,2,NA,NA,NA,6,9391,NA,628,NA,6,NA,NA,NA,NA,NA,NA,NA,113.637463697967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,553,NA,NA,NA,NA,NA
ABW,AW,Aruba,2017,NA,NA,4.45581996127504,18.5214084951566,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,18.8483928478537,68.4348414128373,2,NA,NA,NA,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABW,AW,Aruba,2018,NA,NA,4.54876355243615,20.1234403394689,NA,NA,93.9534912109375,87.9884185791016,90.8682632446289,12,NA,NA,NA,NA,NA,NA,NA,18.7157058027661,67.9734478352375,5,99.5810089111328,92.7595596313477,96.1325988769531,6,8736,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,107.985168457031,NA,NA,108.680381774902,107.309936523438,NA,137.829788208008,NA,144.720138549805,131.166290283203,NA,5,NA,NA,9717,NA,NA,NA,NA,NA,NA,NA
ABW,AW,Aruba,2019,NA,NA,4.43503686776957,19.4014270600936,NA,NA,104.160690307617,82.7770385742188,93.0843734741211,12,NA,NA,NA,NA,NA,NA,NA,18.5363666928163,67.5216668534499,5,106.547622680664,97.7242279052734,101.90274810791,6,8642,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,108.025001525879,NA,NA,108.657241821289,107.404663085938,NA,139.320587158203,NA,145.138092041016,133.686264038086,NA,5,NA,NA,9843,NA,NA,NA,NA,NA,NA,NA
ABW,AW,Aruba,2020,NA,NA,NA,NA,NA,NA,89.0277786254883,91.2925186157227,90.1718215942383,12,NA,NA,NA,NA,NA,NA,NA,18.2545705094483,67.1686817100479,5,100.59790802002,107.946029663086,104.266471862793,6,8448,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,107.235336303711,NA,NA,107.233497619629,107.237182617188,NA,135.124725341797,NA,143.255950927734,127.464012145996,NA,5,NA,NA,9479,NA,NA,NA,NA,NA,NA,NA
