iso3c,iso2c,country,sp_ado_tfrt,sh_hiv_incd_tl,sh_hiv_incd,sp_pop_dpnd,sp_pop_dpnd_yg,sh_hiv_artc_zs,sp_dyn_cbrt_in,sh_sta_brtc_zs,sh_xpd_chex_gd_zs,sh_xpd_chex_pc_cd,sh_xpd_chex_pp_cd,sp_dyn_cdrt_in,sh_xpd_ghed_gd_zs,sh_xpd_ghed_ch_zs,sh_xpd_ghed_ge_zs,sh_xpd_ghed_pc_cd,sh_xpd_ghed_pp_cd,sh_xpd_pvtd_ch_zs,sh_xpd_pvtd_pc_cd,sh_xpd_pvtd_pp_cd,sh_xpd_ehex_ch_zs,sh_xpd_ehex_pc_cd,sh_xpd_ehex_pp_cd,sp_dyn_tfrt_in,sh_imm_idpt,sh_imm_hepb,sh_imm_meas,sh_hiv_incd_yg_p3,sh_hiv_incd_zs,sh_hiv_incd_tl_p3,sh_tbs_incd,sp_dyn_le00_fe_in,sp_dyn_le00_ma_in,sp_dyn_le00_in,sh_mmr_risk_zs,sh_mmr_risk,sh_sta_brtw_zs,sh_sta_mmrt,sh_sta_mmrt_ne,sh_sta_traf_p5,sh_dyn_ncom_zs,sh_dyn_ncom_fe_zs,sh_dyn_ncom_ma_zs,sh_sta_pois_p5,sh_sta_pois_p5_fe,sh_sta_pois_p5_ma,sp_dyn_amrt_fe,sp_dyn_amrt_ma,sp_dyn_imrt_in,sp_dyn_imrt_fe_in,sp_dyn_imrt_ma_in,sh_dyn_nmrt,sh_dyn_mort,sh_dyn_mort_fe,sh_dyn_mort_ma,sm_pop_netm,sh_dth_imrt,sh_mmr_dths,sh_dth_nmrt,sh_dth_mort,sh_xpd_oopc_ch_zs,sh_xpd_oopc_pc_cd,sh_xpd_oopc_pp_cd,sh_sta_odfc_zs,sh_sta_odfc_ru_zs,sh_sta_odfc_ur_zs,sh_h2o_basw_zs,sh_h2o_basw_ru_zs,sh_h2o_basw_ur_zs,sh_sta_bass_zs,sh_sta_bass_ru_zs,sh_sta_bass_ur_zs,sp_pop_0014_to_zs,sp_pop_0014_fe_in,sp_pop_0014_fe_zs,sp_pop_0014_ma_in,sp_pop_0014_ma_zs,sp_pop_0014_to,sp_pop_0004_fe_5y,sp_pop_0004_ma_5y,sp_pop_0509_fe_5y,sp_pop_0509_ma_5y,sp_pop_1014_fe_5y,sp_pop_1014_ma_5y,sp_pop_1519_fe_5y,sp_pop_1519_ma_5y,sp_pop_1564_to_zs,sp_pop_1564_fe_in,sp_pop_1564_fe_zs,sp_pop_1564_ma_in,sp_pop_1564_ma_zs,sp_pop_1564_to,sp_pop_2024_fe_5y,sp_pop_2024_ma_5y,sp_pop_2529_fe_5y,sp_pop_2529_ma_5y,sp_pop_3034_fe_5y,sp_pop_3034_ma_5y,sp_pop_3539_fe_5y,sp_pop_3539_ma_5y,sp_pop_4044_fe_5y,sp_pop_4044_ma_5y,sp_pop_4549_fe_5y,sp_pop_4549_ma_5y,sp_pop_5054_fe_5y,sp_pop_5054_ma_5y,sp_pop_5559_fe_5y,sp_pop_5559_ma_5y,sp_pop_6064_fe_5y,sp_pop_6064_ma_5y,sp_pop_65up_to_zs,sp_pop_65up_fe_in,sp_pop_65up_fe_zs,sp_pop_65up_ma_in,sp_pop_65up_ma_zs,sp_pop_65up_to,sp_pop_6569_fe_5y,sp_pop_6569_ma_5y,sp_pop_7074_fe_5y,sp_pop_7074_ma_5y,sp_pop_7579_fe_5y,sp_pop_7579_ma_5y,sp_pop_80up_fe_5y,sp_pop_80up_ma_5y,sp_pop_grow,sp_pop_totl_fe_in,sp_pop_totl_fe_zs,sp_pop_totl_ma_in,sp_pop_totl_ma_zs,sp_pop_totl,sh_hiv_1524_fe_zs,sh_hiv_1524_ma_zs,sh_dyn_aids_zs,sh_anm_chld_zs,sh_anm_nprg_zs,sh_prg_anem,sh_anm_allw_zs,sh_sta_owgh_me_zs,sh_sta_stnt_me_zs,sn_itk_defc_zs,sp_pop_brth_mf,sh_sta_suic_p5,sh_sta_suic_fe_p5,sh_sta_suic_ma_p5,sp_dyn_to65_fe_zs,sp_dyn_to65_ma_zs,sh_alc_pcap_li,sh_alc_pcap_fe_li,sh_alc_pcap_ma_li,sh_tbs_dtec_zs,sh_tbs_cure_zs,sh_dyn_aids_fe_zs,sh_hiv_incd_yg
ATG,AG,Antigua and Barbuda,32.932,100,100,42.0142359533545,25.277903983038,NA,11.848,99,3.91348195,841.24884033,1241.35033031918,6.893,2.30815935,58.97968292,12.27995205,496.16586761,732.144472421221,41.02031708,345.08292966,509.205844193301,0,0,0,1.578,99,99,97,0.52,0.73,0.43,1.1,80.294,74.549,77.598,0.047449099184204,2108,15.35550278,35,0,0,12.1,11.6,12.8,0.52,0.005,1.09,90.781,126.127,7.3,6.7,7.9,5.4,9.3,8.5,10.1,9,8,0,6,10,20.80756378,175.04337237,258.294747553929,0.142707421101563,0,0.586356401277371,98.9227269324043,98.982713546268,98.736251536324,99.6057190215246,100,98.3799890682237,17.7996512799731,8223,16.7333150177559,8468,18.9736293773665,16691,5.50179594411714,6.23977774292564,5.25351811715864,5.95859565792127,5.97800095648015,6.77525597651962,6.52645074635978,7.38018954585172,70.4158512981023,34380,69.965505662566,31650,70.9116572939305,66030,6.72690456566643,7.58967580041673,7.3191082348871,8.07922389263549,7.40865105772459,7.78571908677436,7.40865105772459,7.58855555306612,6.92837591705078,7.09676696614612,6.89479735848672,6.60161763717429,7.17360114777618,6.71364237223579,7.29265240086694,6.61954159478413,6.28631317602287,5.45672484484574,11.7844974219246,6536,13.3011793196781,4515,10.114713328703,11051,4.85769813893383,4.1852441018977,3.43518829431098,2.86783321757444,2.31488547676465,1.67476978916945,2.69340740966859,1.38686622006139,0.487472101887911,49139,52.4026361813761,44633,47.5973638186239,93772,0.2,0.2,1.1,17.2,20.2,25.2,20.3,NA,NA,NA,1.032,1.46,1.28,1.65,86.700818,79.547797,6.66,2.78,11.04,100,0,NA,100
ARG,AR,Argentina,26.414,4900,4600,51.5609570038159,32.7431422852471,79,11.064,98.8,10.2695179,1456.98596191,3089.30758524707,7.668,6.18493843,60.22618103,16.34729767,877.48707575,1860.57202041853,38.92549896,567.13911945,1202.52845484482,0.84831756,12.35986912,26.2071400234193,1.5,75,75,82,0.16,0.2,0.11,44,79.875,74.805,77.395,0.045677677466147,2189,7.361601633,33,34.3,14.1,13.4,10.9,16.1,0.27,0.17,0.38,82.434,123.699,8.2,7.4,8.9,5,9.6,8.8,10.5,3454,4082,170,2519,4920,24.46961784,356.51891705,755.941757043083,1.52803308009116,7.68874074007012,0,99.0413738458383,92.9836600501062,99.8173132584821,94.8209557204549,76.774394263034,98.4695992601004,21.6039426858612,4805559,20.8797122402122,5066613,22.3388617090402,9872172,5.51776607940237,5.87922888224962,7.53655593863886,8.05400623988334,7.82539022217101,8.40562658690727,7.51140543808264,8.05332063531955,65.9800531593914,14937048,64.9001008952835,15213302,67.0759439325374,30150350,7.36047202038857,7.80888166542387,7.43805035457383,7.84288632907806,7.41425546534585,7.78329164041914,6.98609953102583,7.29972658486809,6.8250316151807,7.0532484374113,6.44372248003097,6.63297063529199,5.55146518665193,5.54596995134081,4.83466831721036,4.72987786428667,4.53493048679286,4.3257701890979,12.4160041547474,3272839,14.2201868645042,2400798,10.5851943584224,5673637,4.07858696115237,3.66971055252343,3.52145894714665,2.89003486993629,2.80049748328802,2.03297184777595,3.8196434729172,1.99247708818671,0.345829819817895,23015446,50.3662594486333,22680713,49.6337405513667,45696159,0.1,0.1,0.4,19,23.5,24.4,23.5,14.3,10.7,3.4,1.051,7.94,3.37,12.58,86.547636,80.166912,8.05,3.71,12.59,78,52,35.682759738449,1100
ABW,AW,Aruba,18.788,NA,NA,51.2895227154925,25.4850594679405,NA,7.973,96,NA,NA,NA,7.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.602,NA,NA,NA,NA,NA,NA,8.3,78.779,73.702,76.353,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,59.277,116.237,NA,NA,NA,NA,NA,NA,NA,141,NA,NA,NA,NA,NA,NA,NA,0.857771138864969,NA,NA,96.7397757541097,NA,NA,98.8400017151311,NA,NA,16.8448764869454,8919,15.6524865609078,9273,18.1766538032087,18192,4.46625099751826,5.18913201042136,5.26865030298247,6.11275441242727,5.91758526040708,6.87476738036005,6.02106407794235,7.02266449881486,66.098801190019,37416,65.6643252391851,33968,66.5840662892515,71383,5.64134943393579,6.81012360673079,4.92752098076873,5.80422731101491,5.86935360816606,6.21461732844914,6.14909719116396,6.35957609355717,6.55161225259355,6.15095300593547,7.05234449676848,6.34096652236087,7.41890505380022,6.86987012478207,8.0275008111687,7.51826676330584,8.00557733287733,7.49280103430038,17.0563223230356,10646,18.683188199907,7774,15.2392799075398,18420,7.04883674024186,6.13234343473917,5.23795743337455,4.72976943720739,3.45163242219358,2.72679190581598,2.94476160409706,1.65037512977727,0.590657103226071,56980,52.7612755168138,51015,47.2387244831862,107995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.043,NA,NA,NA,89.187852,80.853894,NA,NA,NA,100,93,NA,NA
BHS,BS,"Bahamas, The",24.564,100,100,42.2242936331287,25.4763457476218,74,10.852,99,6.30260801,2262.33447266,2315.62457132367,8.713,3.18650889,50.55857849,13.4813118,1143.8040243,1170.7467949348,48.92816544,1106.91863325,1132.9925534279,0.51326126,11.6116861,11.8852041011723,1.373,90,90,86,0.24,0.19,0.13,18,78.187,70.906,74.552,0.0929847216468503,1075,15.39718187,76,212.1,7.7,20.4,17.9,23.2,0.16,0.12,0.2,121.419,207.906,11.4,10.5,12.2,9.2,12.7,11.7,13.6,1018,49,3,40,55,27.48377991,621.77497793,636.42114130499,0.126148951232949,NA,NA,98.9452612148878,NA,NA,93.7100445402837,NA,NA,17.9127947109646,35516,16.9377068569194,36365,18.9799422746703,71881,5.13029005274553,5.75765800090816,5.47103764676707,6.14023184079083,6.33637915740679,7.08205243297129,6.80875213414343,7.51942880107726,70.3113513405751,146848,70.0323340614061,135299,70.6167111176062,282148,6.85381952061654,7.36545979321179,7.79785011874899,8.17236178019489,8.28977614146867,8.47351472100294,7.52076915006247,7.43592018664175,6.98830632469502,6.79994989483134,6.82401304808142,6.64598088696587,6.90651736405864,6.76211005391525,6.59891456749616,6.37092438816892,5.44361569203476,5.07106061159621,11.7758539484603,27322,13.0299590816745,19932,10.4033466077235,47254,3.99645183750942,3.60496249941283,3.03239128983337,2.51882858291101,2.63489217210496,2.01829882513818,3.36622378222676,2.26125670026149,0.460334786075668,209686,52.2538956297675,191597,47.7461043702325,401283,0.2,0.3,1.1,17.9,18.6,24.1,18.8,NA,NA,NA,1.028,3.25,0.83,5.89,82.985503,72.232903,3.65,1.52,6.03,77,70,45.7311889821474,100
BRB,BB,Barbados,45.332,100,100,51.0381409176706,26.0409481490987,60,11.173,98.4,5.40463829,1286.47680664,1153.10213713461,10.613,2.25056767,41.64141464,7.80843592,535.7071287,480.168025833006,57.48397827,739.51806366,662.848989057547,0.87460673,11.25161333,10.0851093231253,1.708,94,94,88,0.63,0.55,0.35,1,78.615,73.631,76.178,0.0501869682070716,1993,NA,35,178.3,8.2,14,12.6,15.5,0.11,0.12,0.11,82.669,135.207,9.3,8.6,10,6.9,10,9.2,10.8,-70,29,1,22,32,49.49338913,636.72099856,570.709345655179,0,NA,NA,99.1626347450814,NA,NA,98.0924623115578,NA,NA,17.2412755449742,23947,16.2855462122011,24754,18.2790220272775,48701,5.25623195699261,5.89412433633873,5.38544454229842,6.04254816390126,5.64386971291004,6.34234952703751,6.09475362900346,6.82528078686781,66.2085018630462,96172,65.4033302843697,90846,67.0827702827437,187017,6.2664703542125,7.03314798815563,6.10393452322256,6.62959763112617,6.47287045758257,6.87733989056512,6.28177184457766,6.60227583202263,6.6340461560956,6.70565561241443,6.53543655152012,6.53655582877355,6.98087993770593,6.87844753106932,6.92103410872219,6.5594470658603,7.11213272172709,6.43502211588873,16.5502225919796,26925,18.3111235034292,19823,14.6382076899788,46749,6.32325588512321,5.56257061208214,4.86723406859828,4.12706851864159,3.45167619326122,2.77833159802988,3.66895735644652,2.1702369612252,0.0463878564204179,147044,52.0570544523785,135423,47.9429455476215,282467,0.3,0.5,1,20,19.9,25.4,20.1,13,5.8,4.4,1.035,3.5,1.04,6.17,87.3671,79.353469,8.22,3.35,13.64,100,100,37.4956967145243,100
BLZ,BZ,Belize,55.232,200,200,46.203569976303,38.8585470504929,50,18.025,94.6,4.14735794,309.40835571,573.336236342235,4.925,2.69897199,65.07689667,10.87746048,201.35335536,373.109425000716,33.32776642,103.11889763,191.080166177964,1.59533632,4.93610368,9.1466407463246,2.007,88,88,84,0.51,0.75,0.47,34,76.495,70.928,73.566,0.13651823177749,733,11.5589646,67,78.83,22.6,15.4,16.8,14,0.21,0.23,0.2,102.326,190.839,10.8,9.7,12,9.3,12.7,11.4,14,490,78,5,69,92,26.78139114,82.86385869,153.547412288284,0.570415497329849,0.439085649389654,0.722148509211394,94.8473253067341,91.2952795847606,98.87896,84.3017658171591,76.3545501796255,93.3220001457918,26.5784164106154,54117,26.1901132219746,56734,26.9596848537839,110851,8.38021676478915,8.63468319061784,9.16689049724265,9.43846760627631,8.6430059599428,8.88653405688978,9.17076216125965,9.34366713868904,68.3977447511997,141620,68.5381322608824,143648,68.2599005901864,285268,9.52864910383077,9.70718772868534,9.29997894782691,9.51449805647162,8.72963444232309,8.93571625435987,7.74284407599108,7.74227578145047,6.63627410413324,6.44785736687543,5.60641147561215,5.38485663508235,4.88144238842953,4.58226019520818,3.85980704594455,3.67844821851151,3.08232851553142,2.92313321485255,5.02383883818482,10893,5.271754517143,10060,4.78041455602969,20953,2.18337652658502,2.01932123815588,1.45380983838222,1.31603957384933,0.855395768755187,0.764818809933378,0.779172383420567,0.680234934091103,1.44077799785791,206630,49.543004565159,210442,50.456995434841,417072,0.3,0.3,1.2,20.2,21.1,26.8,21.3,5.6,11.7,7,1.052,4.18,1.48,6.84,83.520014,71.012808,3.67,1.48,5.85,52,67,46.5535014613291,100
BOL,BO,Bolivia,64.848,1900,1800,54.8659781441531,46.1292534820881,60,21.247,81.1,6.91864729,255.04104614,755.882068996814,7.172,4.65502548,67.28231049,12.02977371,171.59748467,508.574875184743,31.49112511,80.31528897,238.035762249084,1.22657216,3.12826211,9.27143841445474,2.547,59,59,67,0.11,0.27,0.16,114,71.145,66.128,68.581,0.368770269322554,271,7.933435546,146,160,21.1,19.9,18.9,21,0.39,0.27,0.51,148.197,229.038,20,17.9,22,12.2,23.1,20.8,25.3,-3000,5198,380,3185,5993,27.31554413,69.66584104,206.473285308964,7.09436187275776,24.9318624804173,0,93.3877494672031,78.7377798629983,99.2143561459865,71.5839204142996,53.2716030878257,78.8671234053775,29.7865638630777,1816709,29.3296628509116,1880791,30.2416197026779,3697500,9.93430118453861,10.2552082332571,9.75496115294886,10.0595645865624,9.6404005134241,9.92684688285846,9.37573734487152,9.62022460871472,64.5719616395781,3989315,64.4050761535232,4026206,64.738173166696,8015521,8.9575651795713,9.12951159193632,8.61049293767399,8.71158910637524,8.07006732778509,8.13829332654577,7.0588226747084,7.14857042660766,6.04170146120513,6.08207739384493,5.23063925595641,5.20362254692734,4.39684574004664,4.36592042838844,3.67170401444149,3.5632950811883,2.99150021726322,2.77506865616733,5.64147449734418,388077,6.26526099556521,312217,5.02020713062604,700294,2.28318902529738,2.02166977490971,1.63271513478271,1.35881285991778,1.1655205086712,0.8905946417196828,1.18383632681393,0.749129854078863,1.37206798819615,6194100,49.8988344452038,6219215,50.1011655547962,12413315,0.1,0.1,0.4,36.9,24.9,25.5,24.9,9.9,10.7,21.8,1.042,4.2,2.35,6.03,75.185459,65.016836,3.59,1.66,5.54,66,79,26.961422519696,500
BRA,BR,Brazil,42.686,55000,NA,44.3299763860952,28.3826912498763,73,12.322,98.4,9.73092747,1009.83563232,2070.43822679684,7.077,4.29392195,44.12654495,9.47691154,445.6055761,913.61281555328,55.85463715,564.04005041999994,1156.43574988923,0.01882005,0.19005153,0.389657399593432,1.619,91,90,93,NA,0.47,0.27,49,78.983,72.76,75.848,0.0964280845728622,1037,8.698070886,67,57.7,16,14.5,12,17.3,0.14,0.08,0.19,85.735,168.837,12.5,11,13.8,7.6,14.4,12.8,16,-225510,32589,1700,19804,38010,26.23070717,264.88702651,543.090560514392,0,0,0,99.9999987323028,100,100,92.4012701604853,66.973807452025,95.8634009522858,19.6651396335929,20423238,18.9624723786137,21266577,20.3907698728525,41689815,5.95482844095007,6.40685981102203,6.45654446992186,6.94331493061832,6.55109946774177,7.04059513121218,6.77909168847419,7.26345839121635,69.285675877437,74151037,68.8474080573952,72733607,69.7382661765625,146884644,7.20527903582443,7.64200103786258,7.54917004496666,7.90168721032561,7.45710428947194,7.71663060968971,7.782739616929,7.95182474408821,7.767644000985651,7.82063403964891,7.03985351704895,6.97323962949061,6.26517224417187,6.10465391102966,5.7512992236354,5.48869650830636,5.25005439588705,4.8754400949045396,11.0491844889702,13129180,12.1901195639911,10294934,9.87096395058492,23424113,4.30833112870738,3.82902438443955,3.31024616011508,2.75877150836533,2.22133587905172,1.71902053938901,2.35020639611697,1.56414751839103,0.405467027627251,107703455,50.8038584769153,104295118,49.1961415230847,211998573,NA,NA,0.7,11.6,21.2,23.1,21.3,10.9,8.9,2.5,1.045,7.59,3.9,11.4,86.379739,75.790679,7.7,3.27,12.37,89,65,32.8017076547567,NA
VGB,VG,British Virgin Islands,15.27,NA,NA,31.7775106837607,19.0972222222222,NA,8.332,100,NA,NA,NA,5.972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.045,NA,NA,NA,NA,NA,NA,0,80.049,74.526,77.276,NA,NA,NA,NA,415,NA,NA,NA,NA,NA,NA,NA,50.306,102.19,11.6,11.8,11.5,6.6,12.7,12.6,12.8,212,4,NA,2,4,NA,NA,NA,0,NA,NA,99.8643835616439,NA,NA,96.8579794836767,NA,NA,14.4916520990094,2817,13.5566303327799,2903,15.5311237728379,5720,3.87641666065112,4.50472139742664,4.533314083592,5.2189497900115,5.14689958853678,5.80745258539978,6.30188406843283,7.34825990423454,75.8848268348914,15877,76.4070357804567,14076,75.3042826953428,29952,6.06848095478717,6.40130540620068,7.02374936836786,7.08878367172244,8.33032556125027,7.79231201348206,9.77646237878679,8.69914132092127,10.3298924420703,9.80927159404007,9.17009552684136,8.67506620656448,7.7937390216319,7.54086081908889,6.36203951009408,6.44410560950164,5.25036694819413,5.50517614958671,9.62352106609916,2085,10.0363338867634,1713,9.16459353181928,3798,3.99432132630718,3.87876842415001,2.74790057508602,2.57336222347056,1.73007050217763,1.63710777626194,1.56404148319257,1.07535510793676,1.23892682902476,20779,52.6437131058245,18692,47.3562868941755,39471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.053,NA,NA,NA,90.590465,82.034032,NA,NA,NA,100,100,NA,NA
CYM,KY,Cayman Islands,11.338,NA,NA,33.6630464051701,21.6371959429136,NA,11.838,100,NA,NA,NA,4.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.531,NA,NA,NA,NA,NA,NA,4.9,82.867,77.981,80.358,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,87.007,122.815,NA,NA,NA,NA,NA,NA,NA,896,NA,NA,NA,NA,NA,NA,NA,0,NA,0,95.4601226993865,NA,95.4601226993865,83.2442168711656,NA,83.2442168711656,16.1877581170466,5964,16.0832749042662,6089,16.2914208505572,12053,5.75211693004692,5.87818223167583,5.12512809449329,5.07685515912831,5.20602987972601,5.33638345975305,5.18445607033062,5.2614680740057,74.814491488433,27507,74.1788468798878,28198,75.4451445465613,55705,5.13591499919098,5.09290845607417,6.61506930586268,6.71696699709703,8.77379860848929,8.72362911532956,9.34954964672887,9.58381827667857,9.37112345612427,9.55304945753234,8.77245024540208,9.21726799641476,8.27894935548244,8.51761180452436,7.21509087967208,7.29889901138446,5.4824443126045,5.4795253575203,8.99775039452036,3611,9.73787821584596,3088,8.26343460288157,6699,3.89811768513025,3.35112573744833,2.52548406234831,2.19930168158286,1.52904374089855,1.42071677970863,1.78523272746885,1.29229040414175,1.92419238887509,37082,49.802573262779,37375,50.197426737221,74457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.036,NA,NA,NA,87.907647,82.918287,NA,NA,NA,100,100,NA,NA
