iso3c,iso2c,country,year,social_development_sp_ado_tfrt,social_development_sl_tlf_acti_1524_fe_zs,social_development_sl_tlf_acti_1524_ma_zs,social_development_sl_tlf_acti_1524_zs,social_development_sl_tlf_acti_fe_zs,social_development_sl_tlf_cact_fe_zs,social_development_sl_tlf_cact_ma_zs,social_development_sg_gen_parl_zs,social_development_sh_hiv_1524_fe_zs,social_development_sh_hiv_1524_ma_zs,social_development_sl_tlf_acti_ma_zs,social_development_sl_tlf_acti_zs,social_development_sp_dyn_le00_fe_in,social_development_sp_dyn_le00_ma_in,social_development_se_enr_prim_fm_zs,social_development_se_enr_prsc_fm_zs,social_development_sl_emp_vuln_fe_zs,social_development_sl_emp_vuln_ma_zs,social_development_sl_uem_totl_fe_zs,social_development_sl_uem_totl_ma_zs,infrastructure_er_h2o_fwag_zs,infrastructure_er_h2o_fwdm_zs,infrastructure_er_h2o_fwin_zs,infrastructure_er_h2o_fwtl_k3,infrastructure_er_h2o_fwtl_zs,infrastructure_is_shp_good_tu,infrastructure_eg_elc_coal_zs,infrastructure_eg_elc_hyro_zs,infrastructure_eg_elc_ngas_zs,infrastructure_eg_elc_nucl_zs,infrastructure_eg_elc_petr_zs,infrastructure_eg_use_elec_kh_pc,infrastructure_it_net_bbnd,infrastructure_it_net_bbnd_p2,infrastructure_bx_gsr_ccis_cd,infrastructure_bx_gsr_ccis_zs,infrastructure_it_mlt_main,infrastructure_it_mlt_main_p2,infrastructure_it_net_user_zs,infrastructure_is_shp_gcnw_xq,infrastructure_it_cel_sets,infrastructure_it_cel_sets_p2,infrastructure_er_h2o_intr_k3,infrastructure_er_h2o_intr_pc,infrastructure_it_net_secr,infrastructure_it_net_secr_p6
ABW,AW,Aruba,2001,40.463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.758,70.251,0.969399988651276,0.999490022659302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,100,NA,NA,NA,5977653.63128491,0.327308211153563,37132,41.1,17.1,NA,53000,58.69,NA,NA,NA,NA
ARG,AR,Argentina,2001,63.491,39.93,54.553,47.374,57.126,49.745,74.251,NA,0.1,0.2,80.397,68.732,77.642,70.637,0.992370009422302,1.01778995990753,21.4117695803084,25.4443895994991,17.191,17.411,71.01563042,16.2054701,12.77889948,31.03232273,10.6275077842466,663811,1.21791601038223,51.3687689952747,37.5745945826031,7.82993544379617,1.55178916076935,2093.11272544125,94000,0.249835,318912378.199248,6.94987010326301,8131440,21.6,9.78081,NA,6741790,17.9185,292,7760.83343909241,NA,NA
ATG,AG,Antigua and Barbuda,2001,59.991,NA,NA,NA,NA,NA,NA,5.26315789473684,0.1,0.2,NA,NA,78.592,71.531,NA,NA,NA,NA,NA,NA,17.16549296,61.88380282,20.95070423,0.004193333,8.06410192307692,NA,0,0,0,0,100,NA,NA,NA,15380000,2.84141617508298,37264,49,8.89929,NA,25000,32.8649,0.052,683.589898644652,NA,NA
BHS,BS,"Bahamas, The",2001,42.261,48.484,63.025,55.769,73.572,67.708,80.557,15,1,1.3,85.775,79.576,76.121,69.557,NA,NA,9.12823463263465,18.1129437115316,7.035,6.725,NA,NA,NA,NA,NA,570000,0,0,0,0,100,NA,4139,1.26252,NA,NA,123302,37.6,11.8,NA,60555,18.4711,0.7,2135.21394843763,NA,NA
BLZ,BZ,Belize,2001,97.927,33.448,59.824,46.534,42.287,40.317,79.08,6.89655172413793,0.5,0.5,81.304,61.904,71.66,66.619,0.959230005741119,0.99015998840332,20.7183186951067,26.1607428754403,15.478,5.831,67.72277228,11.28712871,20.99009901,0.101,0.661861074705111,NA,0,46.7605633802817,0,0,43.348271446863,NA,NA,NA,5453242.42,3.18137250053782,35237,14.2,NA,NA,39155,15.7642,15.26,61438.366367527,NA,NA
BOL,BO,Bolivia,2001,89.908,44.005,57.369,50.816,60.185,58.829,80.934,11.5384615384615,0.1,0.1,82.201,71.391,64.74,60.486,0.988200008869171,0.967830002307892,71.1673860351778,55.9384671517378,2.877,2.463,91.19934403,6.637161381,2.163494594,1.983323232,0.653483766721582,NA,0,53.4790253705099,43.9839236372771,0,1.18060788746546,404.444964408843,NA,NA,31000000,9.33620081761517,524391,5.99,2.12046,NA,779917,8.91055,303.5,34674.8719486113,NA,NA
BRA,BR,Brazil,2001,84.155,50.347,71.017,60.763,56.839,52.957,79.547,6.82261208576998,NA,NA,82.925,69.803,73.4,66.699,0.937789976596832,NA,31.744739572285,33.1882933947173,13.774,8.499,57.66778821,24.55285993,17.77935187,56.43,0.996820349761526,2323801,3.39809076186881,81.5432196476189,3.02001777734484,4.34662169566647,4.81510343735921,1756.81160837002,331000,0.187747,260731000,3.04735965430186,37430800,21.2,4.52849,NA,28745800,16.3049,5661,32109.8206006002,NA,NA
BRB,BB,Barbados,2001,61.304,55.382,61.93,58.673,75.35,63.804,75.744,10.7142857142857,0.6,0.8,84.97,80.022,76.983,72.246,0.988259971141815,0.99533998966217,8.92569058044975,17.5880359510829,11.816,8.014,67.65432099,24.69135802,7.654320988,0.081,101.25,NA,0,0,0,0,99.9806567048697,NA,NA,NA,43322000,4.27488869362544,128956,49.1,11.9365,NA,53111,20.2385,0.08,304.84900447747,NA,NA
CHL,CL,Chile,2001,59.205,27.299,46.504,37.058,40.935,36.726,73.847,10.8333333333333,0.1,0.1,79.004,59.976,80.567,74.491,NA,NA,21.6362443060293,21.8704103967312,11.936,9.598,NA,3.598369496,9.084189824,30.01308214,3.39130871638418,1080545,11.3728809574193,49.3828031318333,31.3677082598575,0,2.99781335966707,2600.57336690757,66723,0.425425,167555856.866015,4.0484376440671,3478490,22.2,19.1,NA,5100780,32.5225,885,56427.4751688823,NA,NA
COL,CO,Colombia,2001,94.082,46.932,67.122,57.127,56.523,53.393,82.437,11.8012422360248,0.1,0.2,84.81,70.506,75.526,67.072,0.992009997367859,NA,45.7049760075468,44.1640497363351,19.467,12.06,61.87546409,30.9187895,7.205746412,8.249,0.384568764568765,577041,5.43638372307126,73.186337691033,19.9894126311913,0,0.232461793408212,877.981565106901,13830,0.0348281,179551099.639892,8.15158231781743,7371550,18.6,2.8542,NA,3265260,8.22292,2145,54017.6244020853,NA,NA
CRI,CR,Costa Rica,2001,77.475,37.47,65.021,51.388,44.952,41.564,79.679,19.2982456140351,0.1,0.1,83.526,63.985,80.2,75.009,0.983110010623932,1.00852000713348,23.639643269178,23.0492083976075,7.636,5.189,NA,NA,NA,NA,NA,563825,0,80.9191994069681,0,0,1.48257968865827,1495.15571046462,NA,NA,167776656.599905,7.25607123913057,944950,23.6,9.55948,NA,326944,8.15536,113,28186.9528332502,NA,NA
CUB,CU,Cuba,2001,47.437,26.528,50.374,38.802,42.734,37.214,71.06,27.6206322795341,0.1,0.1,79.278,61.069,78.587,74.39,0.961179971694946,0.993399977684021,8.27574816631753,11.7930328140361,5.819,3.162,52.24840366,33.19726617,14.55433017,5.240995455,13.7486764296957,NA,0,0.490228119484934,8.22275965749395,0,85.2081835414079,1159.9826707006,NA,NA,NA,NA,574415,5.15,1.07975,NA,8579,0.0769822,38.12,3420.63428537996,NA,NA
CUW,CW,Curacao,2001,46.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.306,70.202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,93.5159817351598,7222.1748665215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYM,KY,Cayman Islands,2001,53.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.284,71.922,0.98198002576828,0.963710010051727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,100,NA,NA,NA,NA,NA,38000,92.5,NA,NA,17000,41.3736,NA,NA,NA,NA
DMA,DM,Dominica,2001,55.906,NA,NA,NA,NA,NA,NA,18.75,0.1,0.3,NA,NA,74.617,69.24,1.01148998737335,1.04516005516052,NA,NA,NA,NA,NA,NA,NA,0.0166,8.3,NA,0,33.3456653101492,0,0,66.5063509680602,NA,175,0.256268,2510147.49707838,2.24522023878653,23250,34,13.2452,NA,7710,11.2904,0.2,2928.77225866917,NA,NA
DOM,DO,Dominican Republic,2001,108.811,29.22,57.863,43.709,40.793,38.363,76.501,16.1073825503356,0.9,0.5,78.425,59.597,73.948,67.327,NA,NA,29.5577120549136,46.4832198577109,11.303,5.202,85.38708383,12.53108704,2.081829122,4.9822,21.2008510638298,487827,1.132281742933,5.76292362954865,0.111900671560206,0,92.5113228174293,1299.15508476044,NA,NA,97100000,2.03756164096107,955145,11,4.42939,NA,1270080,14.5647,23.5,2694.86666889136,NA,NA
ECU,EC,Ecuador,2001,90.25,39.672,64.268,52.125,49.097,46.976,81.555,14.6341463414634,0.2,0.4,83.23,66.132,75.667,69.536,1.00364005565643,1.01030004024506,53.2596011975419,36.5726474886559,5.262,3.658,85.20425388,10.38614112,4.409604997,9.4762,2.14199819168174,414355,0,63.9909502262444,3.28253393665158,0,36.0090497737557,649.924016748846,2623,0.0203164,96063930,11.0397128054499,1335770,10.3,2.67044,NA,859152,6.65455,442.4,34266.0451685961,NA,NA
GRD,GD,Grenada,2001,53.556,NA,NA,NA,NA,NA,NA,26.6666666666667,NA,NA,NA,NA,75.853,70.362,0.948629975318909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,100,NA,NA,NA,20109629.6296296,13.9037762989611,32750,30.3,5.1281,NA,6414,5.9396,0.2,1852.07478677989,NA,NA
GTM,GT,Guatemala,2001,110.035,33.902,76.373,55.29,42.74,41.474,85.34,8.84955752212389,0.2,0.2,86.394,64.236,70.644,64.356,0.911360025405884,0.904659986495972,56.7033324333818,42.0335344208676,3.369,2.429,60.64107456,20.48833407,18.87059137,2.427397619,2.22289159249084,322136,14.3998746474459,35.6784706988405,0,0,38.2952052648073,433.270712654295,NA,NA,29994157,2.08555641724704,756085,6.32,1.7382,NA,1146440,9.57808,109.2,9123.24755531219,NA,NA
GUY,GY,Guyana,2001,100.087,31.904,66.583,49.212,36.825,34.818,79.117,18.4615384615385,0.4,0.1,82.459,59.537,67.837,61.285,0.971580028533936,0.980989992618561,40.2792562383355,29.5476272866435,15.223,10.272,97.0245716,2.231879062,0.74354934,1.62464,0.674124481327801,NA,0,0.304983493161453,0,0,95.5772153225384,NA,NA,NA,41100000,23.8953488372093,79913,10.5,1,NA,75320,9.85249,241,315248.2023658,NA,NA
HND,HN,Honduras,2001,125.721,36.054,76.999,56.793,44.23,42.99,84.749,9.375,0.2,0.1,85.769,65.083,70.732,66.406,NA,NA,51.5246157948168,36.7936133947309,4.08,3.96,NA,NA,NA,NA,NA,406359,0,48.5838224036744,0,0,50.293442204644,499.85254497896,NA,NA,116200000,9.27143477727153,309702,4.58,1.41528,NA,237629,3.51627,90.66,13415.2254966822,NA,NA
